Date,Region,Property_Type,Bedrooms,Distance_to_CBD_km,Rent_Price
25/01/2022,Hamilton,town house,3,8.4,517.54
06/05/2023,Dunedin  ,apartment,3,7.8,590.18
31/08/2024,christchurch,aprtment,3,2.9,566.48
19/03/2022,wellington,House,4,4.4,752.25
16/05/2022,WELLINGTON,townhouse,4,1.4,670.88
23/06/2022,Hamilton,apartment,4,9.4,695.58
11/01/2023,christchurch,town house,2,7.2,678.47
23/01/2022,Christchurch,townhouse,1,0.5,477.11
07/07/2024,dunedin,town house,3,8.9,533.94
22/03/2023,DUNEDIN,apartment,2,5.7,540.18
13/05/2024,wellington,town house,2,2.1,539.93
13/05/2024,WELLINGTON,Townhouse,2,2.7,701.93
17/04/2024,Auckland,aprtment,3,4.8,746.11
22/10/2022,CHRISTCHURCH,Apartment,1,17.3,462.19
13/08/2023,hamilton,town house,5,2.7,862.48
09/01/2022,Auckland,HOUSE,3,8.4,668.38
03/01/2023,Auckland,House,4,6.4,695.31
31/01/2022,christchurch,townhouse,3,7.9,611.65
29/08/2022,WELLINGTON,town house,3,2.3,546.68
16/06/2023,Auckland,townhouse,4,5.2,861.54
26/08/2023,WELLINGTON,apartment,2,2.0,630.89
29/05/2024,christchurch,Apartment,4,5.0,529.43
14/09/2023,DUNEDIN,aprtment,3,4.7,514.91
04/10/2023,Dunedin,HOUSE,3,0.5,589.29
29/10/2022,Wellington,town house,2,9.0,615.54
12/03/2024,DUNEDIN,aprtment,4,0.5,553.07
02/12/2024,CHRISTCHURCH,townhouse,3,9.0,707.65
14/05/2024,Wellington,town house,4,0.5,596.52
03/01/2024,Dunedin  ,house,2,6.5,722.05
27/12/2022,DUNEDIN,aprtment,3,1.9,620.14
27/05/2023,auckland,House,2,5.4,790.34
24/11/2023,Dunedin,House,4,6.2,729.03
02/01/2022,Wellington,apartment,1,0.5,631.54
10/02/2024,DUNEDIN,HOUSE,4,7.7,888.79
14/07/2024,auckland,house,3,7.6,838.93
29/08/2024,hamilton,HOUSE,4,11.3,695.04
28/01/2023,DUNEDIN,Townhouse,4,4.6,740.25
28/06/2022,hamilton,town house,4,6.7,885.79
29/04/2022,christchurch,Apartment,3,5.9,602.89
10/01/2022,Christchurch,Townhouse,4,0.9,709.03
18/05/2023,AUCKLAND,house,1,12.7,563.16
08/09/2022,hamilton,town house,3,8.0,794.2
20/05/2023,WELLINGTON,HOUSE,3,5.0,658.12
22/11/2024,DUNEDIN,townhouse,3,2.7,838.16
24/09/2022,Dunedin  ,town house,2,8.8,687.96
02/07/2023,Dunedin  ,Apartment,2,9.1,527.21
06/10/2022,wellington,HOUSE,2,9.2,531.24
31/10/2024,wellington,aprtment,1,10.4,427.05
08/01/2024,Dunedin  ,aprtment,1,12.0,611.0
18/09/2024,Christchurch,aprtment,3,1.4,642.37
13/11/2024,christchurch,town house,4,6.9,819.37
14/02/2023,Wellington,Townhouse,1,0.7,462.01
20/08/2022,DUNEDIN,apartment,4,14.2,568.74
28/06/2024,hamilton,town house,3,10.4,773.66
05/05/2022,HAMILTON,HOUSE,2,12.1,563.66
08/12/2024,welling ton,aprtment,1,10.2,399.64
04/03/2024,hamilton,HOUSE,2,4.2,563.26
06/11/2023,hamilton,aprtment,2,5.6,614.47
17/04/2024,Dunedin,townhouse,2,10.1,721.81
05/09/2022,Dunedin,,3,0.5,533.51
04/04/2023,AUCKLAND,House,1,4.5,524.61
29/06/2023,Christchurch,Apartment,2,13.6,499.36
28/05/2024,christchurch,Apartment,2,12.7,536.51
30/07/2022,Auckland,House,2,7.6,520.8
13/11/2022,hamilton,House,2,4.5,715.68
28/10/2024,hamilton,HOUSE,2,7.6,566.83
17/12/2023,Christchurch,town house,2,6.8,599.35
23/07/2024,Dunedin  ,Townhouse,2,4.9,514.78
23/07/2022,auckland,House,4,3.9,698.74
19/05/2023,CHRISTCHURCH,town house,3,6.1,1293.3752116859491
13/06/2024,auckland,apartment,2,1.2,639.4
28/02/2022,welling ton,house,3,14.2,607.58
22/10/2024,AUCKLAND,town house,5,5.2,712.24
03/08/2023,CHRISTCHURCH,house,5,6.9,720.98
04/02/2022,auckland,house,3,6.5,787.85
18/02/2023,auckland ,aprtment,2,7.0,572.89
10/06/2024,WELLINGTON,Townhouse,2,4.6,602.62
22/11/2023,wellington,House,3,6.7,639.13
23/08/2023,auckland ,Townhouse,1,2.9,684.0
25/08/2024,Dunedin  ,house,5,8.9,894.72
06/08/2024,CHRISTCHURCH,aprtment,4,6.3,626.31
01/12/2023,hamilton,house,3,12.3,621.84
13/04/2022,CHRISTCHURCH,aprtment,3,9.6,579.8
01/01/2023,WELLINGTON,house,2,7.0,580.29
22/07/2024,AUCKLAND,townhouse,4,4.4,727.49
12/11/2022,HAMILTON,HOUSE,2,3.4,610.45
08/10/2023,CHRISTCHURCH,House,2,1.1,752.5
30/04/2022,hamilton,HOUSE,2,0.5,624.66
17/04/2023,Dunedin  ,aprtment,3,2.4,614.2
05/06/2023,christchurch,Townhouse,1,4.7,627.3
29/08/2022,CHRISTCHURCH,HOUSE,5,2.5,661.79
26/07/2024,dunedin,townhouse,3,9.4,567.88
15/06/2023,Wellington,Apartment,3,6.2,723.67
25/05/2023,welling ton,apartment,2,1.4,524.56
14/06/2023,hamilton,Apartment,3,4.8,632.19
02/12/2022,dunedin,aprtment,1,10.8,467.09
04/12/2024,Christchurch,town house,1,4.7,465.83
21/04/2023,welling ton,aprtment,4,4.5,638.53
16/01/2022,Wellington,aprtment,5,1.0,653.62
30/10/2022,Hamilton,Apartment,2,6.9,508.51
28/01/2024,DUNEDIN,apartment,2,2.3,696.44
04/11/2023,Dunedin,house,2,8.2,525.17
22/02/2023,christchurch,Apartment,3,4.6,601.22
01/12/2023,dunedin,Townhouse,3,1.2,642.73
26/10/2022,hamilton,HOUSE,2,13.6,581.71
20/03/2022,AUCKLAND,aprtment,3,1.8,702.57
19/09/2022,Dunedin,HOUSE,2,0.5,697.66
01/10/2024,CHRISTCHURCH,house,2,3.5,614.25
24/11/2023,auckland ,town house,4,7.3,840.57
30/01/2022,Dunedin  ,apartment,4,3.7,736.52
18/03/2022,auckland,Townhouse,4,14.9,781.25
07/03/2022,auckland ,aprtment,5,14.8,812.66
14/01/2022,christchurch,Apartment,4,8.3,608.4
08/07/2024,wellington,HOUSE,3,0.9,830.71
09/11/2023,WELLINGTON,town house,3,0.6,647.38
10/11/2022,wellington,House,3,17.0,598.28
07/12/2022,christchurch,HOUSE,1,7.9,540.98
29/10/2024,Wellington,aprtment,2,10.4,510.74
14/01/2023,AUCKLAND,house,4,3.4,794.86
30/10/2024,AUCKLAND,town house,4,10.6,599.14
20/10/2023,CHRISTCHURCH,Townhouse,3,2.5,665.85
07/03/2023,AUCKLAND,HOUSE,4,7.9,755.69
21/10/2023,AUCKLAND,HOUSE,3,6.5,672.62
22/11/2023,Hamilton,aprtment,2,7.8,444.73
09/01/2024,HAMILTON,house,4,7.4,825.4
07/02/2024,Dunedin  ,apartment,3,3.6,666.18
25/11/2023,hamilton,House,1,2.0,610.14
02/05/2022,dunedin,Apartment,4,9.8,733.73
16/08/2024,hamilton,Apartment,4,6.5,554.74
27/05/2023,WELLINGTON,town house,2,5.6,809.86
25/11/2022,Christchurch,town house,2,6.5,579.02
30/01/2024,AUCKLAND,HOUSE,2,5.6,695.59
12/12/2022,christchurch,HOUSE,1,10.7,559.4
19/06/2023,auckland,aprtment,2,7.9,483.68
11/12/2022,AUCKLAND,House,3,9.1,786.81
13/06/2024,Christchurch,,1,7.1,480.82
10/07/2024,welling ton,aprtment,2,7.3,516.66
14/11/2024,Wellington,HOUSE,2,6.3,848.28
26/05/2024,HAMILTON,house,1,8.5,536.64
15/11/2022,AUCKLAND,aprtment,5,11.6,642.19
11/05/2023,Dunedin,town house,1,8.7,638.66
20/06/2024,WELLINGTON,apartment,2,17.2,443.89
15/01/2022,hamilton,house,2,4.9,782.15
20/11/2022,DUNEDIN,aprtment,4,5.3,605.81
09/10/2023,hamilton,aprtment,2,8.1,609.3
25/03/2024,Christchurch,aprtment,4,5.7,602.89
25/09/2022,CHRISTCHURCH,Townhouse,1,2.3,530.51
05/06/2024,DUNEDIN,HOUSE,2,13.6,509.95
12/06/2023,Dunedin  ,Townhouse,1,0.5,517.67
20/06/2023,Wellington,House,3,1.6,606.3
25/02/2022,hamilton,Townhouse,1,18.2,447.34
06/10/2022,hamilton,apartment,3,0.5,793.96
16/01/2024,HAMILTON,HOUSE,1,2.9,559.42
23/01/2023,christchurch,house,2,5.2,741.03
09/09/2024,CHRISTCHURCH,House,3,11.1,626.52
22/04/2023,AUCKLAND,Apartment,4,10.6,629.7
06/05/2024,WELLINGTON,townhouse,5,0.5,831.18
22/01/2023,Wellington,Apartment,2,3.2,614.83
27/10/2024,welling ton,town house,2,2.9,651.35
03/07/2024,auckland ,townhouse,1,4.3,629.43
15/03/2023,welling ton,Apartment,4,9.5,605.18
15/04/2024,Wellington,townhouse,3,4.3,737.52
22/06/2022,WELLINGTON,HOUSE,2,7.0,559.65
12/04/2022,wellington,HOUSE,3,9.4,620.73
26/08/2023,dunedin,town house,3,10.4,577.23
03/05/2024,HAMILTON,Apartment,2,9.7,537.88
17/01/2024,Auckland,apartment,1,3.8,509.89
23/09/2024,welling ton,house,3,10.1,847.06
02/09/2024,AUCKLAND,HOUSE,2,9.7,526.69
14/10/2022,Hamilton,aprtment,3,7.3,568.81
17/03/2023,dunedin,Apartment,1,0.7,398.85
08/02/2024,christchurch,Apartment,3,9.5,588.7
15/09/2023,auckland ,HOUSE,2,12.2,508.51
29/07/2022,christchurch,aprtment,5,5.8,652.89
27/06/2024,WELLINGTON,house,3,15.3,837.23
13/05/2024,auckland ,townhouse,4,8.5,689.63
29/08/2024,Christchurch,house,3,9.0,612.48
18/02/2024,WELLINGTON,Apartment,2,0.5,537.05
10/11/2022,auckland ,house,3,6.3,724.46
11/05/2024,Christchurch,aprtment,4,7.5,529.2
12/05/2022,Dunedin,apartment,2,7.2,446.46
11/12/2022,auckland ,house,2,2.1,739.96
27/10/2024,Christchurch,Apartment,5,5.7,637.45
09/12/2022,Hamilton,HOUSE,3,3.2,633.27
13/12/2023,Hamilton,house,1,2.3,744.96
02/03/2024,auckland,HOUSE,3,3.5,561.03
02/08/2023,Auckland,townhouse,4,2.7,863.83
16/07/2023,HAMILTON,house,2,0.5,623.32
28/04/2022,Dunedin  ,Apartment,2,0.5,584.13
28/12/2022,Auckland,HOUSE,2,0.5,792.5
04/08/2024,Dunedin  ,aprtment,2,7.0,515.24
25/04/2024,HAMILTON,townhouse,1,0.5,560.42
04/04/2022,hamilton,town house,2,7.4,641.84
23/01/2024,DUNEDIN,town house,2,11.2,472.19
06/04/2024,hamilton,aprtment,3,10.5,564.67
07/03/2024,Hamilton,town house,3,4.6,684.8
06/08/2023,wellington,aprtment,3,11.3,742.94
30/05/2022,DUNEDIN,townhouse,3,3.8,626.71
25/09/2023,christchurch,apartment,3,7.0,542.63
05/05/2024,AUCKLAND,aprtment,5,0.5,892.08
14/01/2023,welling ton,Apartment,2,3.1,548.0
26/10/2024,dunedin,HOUSE,2,6.0,737.16
16/05/2022,wellington,house,3,19.5,819.41
09/08/2023,christchurch,apartment,5,1.3,828.51
29/04/2024,Wellington,HOUSE,1,4.2,706.75
28/12/2024,Dunedin  ,apartment,5,9.7,706.45
13/05/2022,auckland,House,4,8.9,733.3
24/01/2023,auckland,town house,2,1.1,682.05
03/07/2022,christchurch,aprtment,3,0.5,558.63
11/11/2024,dunedin,townhouse,2,9.3,747.19
09/10/2022,CHRISTCHURCH,Apartment,4,11.1,679.16
17/10/2023,DUNEDIN,house,3,8.3,819.65
19/01/2022,Auckland,HOUSE,4,6.0,889.37
30/09/2023,hamilton,House,1,8.3,702.31
11/10/2022,welling ton,townhouse,3,7.0,804.58
31/03/2022,hamilton,House,2,4.2,730.08
17/12/2024,hamilton,apartment,2,2.3,546.1
05/10/2023,HAMILTON,townhouse,4,9.1,624.59
02/12/2024,WELLINGTON,house,2,0.5,688.81
28/04/2024,auckland ,House,2,3.0,836.87
13/06/2023,Christchurch,town house,2,0.5,579.98
09/12/2024,Auckland,aprtment,1,1.3,593.85
22/01/2022,Dunedin  ,HOUSE,2,13.0,591.12
25/03/2022,christchurch,town house,3,10.9,674.45
21/05/2023,HAMILTON,HOUSE,4,2.9,670.66
22/01/2024,HAMILTON,town house,2,3.1,493.47
06/03/2024,Auckland,house,2,14.4,787.2
24/07/2023,HAMILTON,town house,3,8.0,606.17
31/12/2023,Dunedin,House,2,7.4,672.95
27/12/2022,DUNEDIN,townhouse,3,5.0,780.48
02/11/2022,auckland,,1,9.8,621.9
17/11/2024,Auckland,Apartment,2,14.1,518.52
07/12/2023,AUCKLAND,Apartment,2,5.5,478.49
04/10/2023,hamilton,house,2,11.4,487.94
13/09/2023,Christchurch,HOUSE,2,5.3,791.3
21/05/2023,wellington,HOUSE,2,12.2,
13/10/2024,Auckland,House,1,3.8,669.32
08/10/2023,hamilton,Apartment,2,12.0,490.07
26/12/2022,AUCKLAND,Townhouse,1,7.5,662.62
08/11/2022,Christchurch,HOUSE,4,6.7,722.13
03/04/2022,Christchurch,townhouse,1,6.8,542.52
13/06/2023,WELLINGTON,House,2,1.4,528.09
27/07/2024,hamilton,townhouse,2,6.2,595.22
24/02/2022,hamilton,townhouse,4,5.0,774.18
04/02/2023,AUCKLAND,HOUSE,4,4.0,862.5
23/04/2024,hamilton,house,3,6.1,828.0
21/06/2022,auckland ,townhouse,1,6.1,527.24
14/10/2022,Wellington,Apartment,3,8.8,703.74
07/12/2024,Dunedin  ,House,2,1.3,806.35
20/03/2022,welling ton,House,3,5.1,646.55
06/02/2022,wellington,aprtment,4,1.9,625.93
17/09/2024,wellington,Townhouse,1,10.2,556.48
30/06/2022,dunedin,House,3,4.0,760.85
09/06/2022,welling ton,Apartment,3,8.9,495.75
04/06/2022,AUCKLAND,aprtment,1,6.3,462.92
27/06/2023,Christchurch,house,4,2.4,813.24
16/09/2024,Dunedin,town house,3,9.9,536.65
06/05/2023,hamilton,townhouse,2,13.1,733.52
29/02/2024,auckland ,aprtment,3,6.8,702.18
10/09/2023,Christchurch,HOUSE,3,11.4,541.41
10/01/2024,DUNEDIN,apartment,1,7.7,
10/06/2022,hamilton,House,1,3.7,716.61
28/12/2023,Dunedin,HOUSE,1,1.4,520.35
06/09/2023,hamilton,House,3,12.5,658.71
16/08/2022,Wellington,HOUSE,4,4.8,754.95
07/07/2024,christchurch,Apartment,3,4.1,592.16
27/06/2022,dunedin,house,3,0.5,872.23
04/10/2024,wellington,house,2,7.5,690.47
06/11/2022,Christchurch,townhouse,1,14.5,491.59
11/06/2022,WELLINGTON,house,4,4.3,927.15
17/03/2023,HAMILTON,Apartment,3,10.0,760.83
03/11/2022,Wellington,apartment,3,16.5,521.06
21/03/2022,auckland ,apartment,2,8.4,
22/11/2022,Auckland,apartment,3,0.5,602.57
23/07/2023,christchurch,town house,3,8.8,703.68
16/09/2024,dunedin,town house,3,8.4,814.81
11/05/2024,hamilton,aprtment,1,8.8,
11/12/2022,Dunedin  ,House,1,12.4,543.46
23/01/2024,christchurch,townhouse,3,0.5,828.87
06/04/2023,WELLINGTON,Apartment,2,5.8,531.98
16/10/2023,WELLINGTON,HOUSE,4,5.4,553.87
01/11/2023,Dunedin  ,House,4,5.7,664.22
09/08/2024,Dunedin  ,Townhouse,3,10.0,735.24
12/08/2023,christchurch,Apartment,1,3.8,580.68
13/07/2024,Christchurch,town house,2,3.5,684.12
23/06/2024,auckland ,house,3,2.6,857.04
10/03/2023,Dunedin  ,Apartment,2,3.6,497.74
13/11/2023,welling ton,HOUSE,2,1.2,808.6
24/05/2023,hamilton,aprtment,1,11.0,625.59
22/07/2022,HAMILTON,HOUSE,2,4.1,738.9
31/01/2022,WELLINGTON,HOUSE,2,0.5,626.68
04/07/2022,Dunedin,HOUSE,1,9.9,
20/07/2023,auckland ,aprtment,2,0.5,599.97
03/07/2022,Dunedin  ,Townhouse,3,2.6,650.69
08/05/2024,hamilton,Townhouse,3,6.8,548.34
30/04/2022,HAMILTON,Townhouse,4,2.0,629.3
09/10/2024,christchurch,House,2,4.0,775.0
19/04/2022,Auckland,HOUSE,2,5.9,
04/05/2023,dunedin,town house,1,11.3,682.1
30/03/2023,wellington,townhouse,2,1.8,766.09
29/11/2022,HAMILTON,,3,7.8,651.61
27/12/2023,Wellington,townhouse,2,5.4,529.43
30/05/2024,CHRISTCHURCH,townhouse,3,0.5,844.43
27/04/2024,hamilton,aprtment,3,8.5,691.26
28/07/2022,WELLINGTON,House,1,4.7,474.82
26/05/2022,Wellington,,3,3.7,607.78
11/07/2022,Dunedin  ,HOUSE,3,8.2,782.67
03/03/2023,Auckland,house,1,13.7,603.92
21/06/2023,Christchurch,Townhouse,2,12.3,723.62
16/04/2022,auckland,Townhouse,2,5.9,565.96
28/01/2022,AUCKLAND,apartment,4,6.2,571.06
23/12/2023,hamilton,,2,2.6,631.56
23/04/2024,AUCKLAND,house,1,4.8,493.14
05/01/2023,DUNEDIN,Apartment,2,4.9,606.42
16/12/2023,dunedin,town house,3,5.2,739.24
05/08/2022,WELLINGTON,townhouse,4,1.3,761.86
28/08/2024,Auckland,house,2,8.1,533.85
12/06/2024,christchurch,aprtment,3,20.5,678.34
04/12/2023,Dunedin  ,town house,3,1.2,735.84
25/09/2022,auckland,House,2,5.5,540.73
17/06/2022,Christchurch,Apartment,2,9.9,597.79
10/11/2023,dunedin,House,3,4.8,767.95
06/06/2024,christchurch,town house,4,8.3,622.77
03/12/2022,christchurch,apartment,3,0.5,733.16
07/08/2023,Hamilton,aprtment,2,1.2,486.07
19/05/2022,DUNEDIN,town house,3,0.5,632.7
26/10/2022,hamilton,townhouse,4,7.9,564.57
06/09/2023,hamilton,town house,3,0.5,560.39
12/01/2024,christchurch,townhouse,3,9.2,601.87
18/02/2024,CHRISTCHURCH,aprtment,4,3.4,621.64
22/10/2023,dunedin,townhouse,2,9.6,540.46
13/12/2022,HAMILTON,apartment,2,9.8,654.17
08/03/2023,auckland,town house,1,2.1,698.78
10/06/2023,WELLINGTON,HOUSE,1,3.9,529.19
20/11/2024,HAMILTON,Apartment,2,20.7,664.87
19/06/2022,wellington,Apartment,3,1.7,611.31
29/04/2023,Wellington,Townhouse,2,1.9,605.34
13/11/2022,WELLINGTON,Apartment,3,7.3,642.25
25/10/2023,hamilton,HOUSE,3,13.1,623.56
04/10/2022,auckland,apartment,2,8.3,709.19
26/01/2024,hamilton,apartment,3,6.9,497.58
23/08/2023,auckland,aprtment,3,4.2,543.49
19/06/2024,Wellington,house,1,6.4,504.31
12/03/2022,welling ton,HOUSE,3,0.5,708.56
12/07/2024,hamilton,Townhouse,2,9.4,718.97
20/06/2022,Hamilton,HOUSE,2,6.2,681.03
30/06/2024,WELLINGTON,house,3,8.5,676.77
08/09/2023,Auckland,town house,3,3.2,806.6
06/07/2022,WELLINGTON,townhouse,4,8.2,708.71
19/05/2023,Auckland,house,3,5.7,681.57
12/10/2023,Auckland,apartment,3,5.0,521.48
05/10/2022,auckland ,aprtment,4,7.4,597.95
03/03/2022,Wellington,apartment,3,0.8,751.29
16/03/2024,auckland,aprtment,2,0.5,515.69
17/04/2023,hamilton,apartment,4,3.8,802.27
25/12/2024,Christchurch,HOUSE,3,11.2,642.52
15/08/2024,dunedin,Townhouse,2,7.2,533.78
07/01/2023,wellington,House,2,3.4,662.23
21/05/2022,AUCKLAND,aprtment,3,2.2,559.72
01/09/2023,christchurch,House,4,5.8,662.82
21/11/2023,CHRISTCHURCH,town house,2,1.5,577.28
03/04/2024,christchurch,house,3,0.5,705.38
22/04/2024,CHRISTCHURCH,town house,2,13.8,541.75
08/11/2024,Dunedin  ,House,2,4.8,589.66
10/12/2024,CHRISTCHURCH,HOUSE,1,14.8,698.98
18/05/2024,Christchurch,house,4,10.6,882.06
12/03/2024,Auckland,House,1,9.1,536.06
17/01/2023,dunedin,aprtment,3,12.8,708.38
05/10/2022,christchurch,apartment,3,1.5,757.15
09/04/2022,wellington,townhouse,2,1.3,607.88
13/12/2023,dunedin,Apartment,1,2.6,494.98
01/05/2024,hamilton,house,2,4.4,659.85
13/12/2022,welling ton,town house,3,9.7,722.28
06/02/2023,hamilton,Apartment,1,14.9,459.05
10/06/2022,auckland ,HOUSE,3,9.4,661.21
05/12/2022,hamilton,Apartment,2,0.5,742.66
02/04/2023,Auckland,apartment,3,9.3,510.0
16/02/2023,Dunedin,townhouse,2,6.0,732.86
16/10/2023,DUNEDIN,House,1,6.1,580.99
20/06/2023,HAMILTON,House,3,7.6,794.61
26/08/2024,AUCKLAND,apartment,5,0.5,787.09
01/08/2022,Wellington,townhouse,2,8.1,581.52
07/11/2022,Wellington,Apartment,3,16.3,630.79
15/07/2024,wellington,Townhouse,2,4.4,552.71
29/10/2023,Dunedin  ,house,2,18.6,557.62
21/08/2024,Christchurch,Townhouse,1,3.4,602.2
27/07/2022,auckland,townhouse,2,2.3,593.75
15/10/2022,Wellington,town house,2,7.9,752.29
25/04/2024,wellington,HOUSE,1,6.4,498.17
18/07/2024,auckland,apartment,2,4.8,746.35
08/06/2023,Dunedin  ,HOUSE,5,10.1,810.91
12/06/2022,DUNEDIN,aprtment,1,6.4,513.32
03/12/2022,wellington,apartment,3,13.8,664.0
20/09/2023,auckland ,aprtment,3,8.7,505.62
25/10/2024,Wellington,town house,2,5.7,495.47
18/05/2022,hamilton,aprtment,3,2.6,619.47
13/06/2024,DUNEDIN,Townhouse,3,11.2,572.04
02/03/2022,DUNEDIN,aprtment,3,0.5,798.11
10/09/2024,auckland ,house,3,0.5,772.63
28/04/2023,hamilton,town house,1,7.8,463.07
12/08/2022,Wellington,House,3,10.5,889.3
04/08/2022,Wellington,Apartment,2,2.0,520.0
28/07/2022,Dunedin  ,town house,1,15.8,620.49
23/03/2023,hamilton,House,1,10.2,699.46
24/09/2023,wellington,HOUSE,4,10.2,667.79
19/09/2023,christchurch,Townhouse,1,8.6,495.48
02/03/2023,auckland,house,2,7.7,730.17
06/07/2022,HAMILTON,townhouse,1,2.2,717.75
12/03/2023,dunedin,Apartment,4,5.3,670.56
30/11/2023,welling ton,,1,7.0,667.45
24/10/2024,Wellington,House,3,4.0,675.92
13/05/2024,HAMILTON,apartment,5,0.5,830.66
25/01/2023,dunedin,HOUSE,2,0.5,558.1
05/03/2022,Christchurch,house,1,0.5,761.44
18/01/2023,Wellington,house,2,8.3,532.38
13/05/2022,auckland ,House,2,7.7,740.32
28/10/2024,christchurch,Apartment,2,9.3,444.88
22/04/2023,auckland,HOUSE,2,13.3,780.93
01/07/2024,dunedin,House,2,12.9,616.01
13/07/2022,auckland ,apartment,3,1.2,519.28
03/04/2022,hamilton,aprtment,4,8.5,581.84
14/05/2023,Dunedin  ,House,1,14.6,740.06
15/05/2022,christchurch,House,2,0.8,561.71
23/05/2022,AUCKLAND,townhouse,3,12.6,569.73
03/11/2023,WELLINGTON,town house,4,12.0,578.2
17/02/2022,Hamilton,house,1,9.9,528.82
30/12/2023,auckland,House,3,12.9,
05/04/2023,dunedin,apartment,2,2.9,562.43
26/09/2023,christchurch,House,3,10.1,817.99
27/04/2024,dunedin,townhouse,4,15.7,674.94
29/05/2022,hamilton,house,2,8.4,570.93
13/01/2024,christchurch,apartment,2,0.5,474.38
24/07/2022,wellington,HOUSE,1,9.2,511.68
09/04/2024,Hamilton,aprtment,3,6.3,556.76
17/09/2023,Auckland,Apartment,3,13.6,677.52
25/10/2024,Hamilton,house,3,2.2,589.91
06/09/2023,welling ton,townhouse,4,9.9,606.68
25/10/2024,hamilton,HOUSE,3,12.8,591.17
09/01/2022,christchurch,town house,2,10.5,641.27
07/11/2024,HAMILTON,town house,1,5.8,456.66
